mes,concepto,categoria,tipo,monto,estado,nota
2026-08,Sueldo,trabajo,ingreso,6500,confirmado,Sueldo neto mensual
2026-08,Cochera,alquiler,ingreso,200,confirmado,Ingreso por alquiler de la cochera
2026-08,Alquiler,vivienda,fijo,-1250,confirmado,
2026-08,Mantenimiento,vivienda,fijo,-340,confirmado,Cuota de mantenimiento del edificio
2026-08,Camara,equipamiento,fijo,-420,confirmado,Cuota mensual — falta confirmar cuantas cuotas quedan
2026-08,Terapia,salud,fijo,-360,confirmado,
2026-08,Suscripciones IA,herramientas,fijo,-240,confirmado,
2026-08,Cuota TC agosto,tarjeta_credito,deuda,-2500,confirmado,PAGO MINIMO del estado de cuenta. No es elegible: 2500 es el piso. Deja solo 390 para vivir, de ahi el retiro de Caja Arequipa
2026-08,Adelanto de sueldo,adelanto,deuda,-1200,confirmado,Adelanto UNICO de 1200 ya cobrado y repagado integro en agosto. No se repite: desde setiembre libera 1200/mes
2026-08,Reserva de vida,reserva_vida,variable,-1090,estimado,PROVISIONAL y apretada: 1090 en vez de los 1200 estimados, porque el minimo de la tarjeta se come el margen. Se reemplaza por el gasto real medido desde el 25/08
2026-08,Retiro Caja Arequipa,ahorro,ingreso,700,estimado,Se saca el colchon para cubrir el hueco que deja el pago minimo de 2500. Deja la liquidez inmediata en cero — se repone en setiembre
