id,generacion,nse,region,educacion_financiera,sesgo_presente,canal_preferido,exposicion_riesgo_sismico,apertura_datos_ia,confianza_aseguradora,tenencia_seguro,seguro_desastres_naturales,wtp_ratio
user_000000,Gen_Z_18_27,D,Resto_Costa,alta,alto,directo_digital,alta,media,neutral,ninguno,False,0.694
user_000001,Gen_X_44_59,C,Sierra,baja,bajo,bancaseguros,media,media,neutral,voluntario,False,0.719
user_000002,Boomer_60_mas,E,Selva,media,alto,directo_digital,media,media,desconfia,ninguno,False,0.624
user_000003,Gen_X_44_59,C,Resto_Costa,baja,medio,bancaseguros,alta,media,neutral,ninguno,False,0.641
user_000004,Boomer_60_mas,C,Resto_Costa,alta,medio,bancaseguros,alta,media,desconfia,solo_obligatorio,False,1.273
user_000005,Millennial_28_43,D,Lima_Metropolitana,alta,medio,bancaseguros,alta,baja,confia_plena,solo_obligatorio,False,1.218
user_000006,Millennial_28_43,E,Resto_Costa,baja,bajo,bancaseguros,alta,alta,desconfia,ninguno,False,0.449
user_000007,Millennial_28_43,E,Lima_Metropolitana,baja,medio,broker_corredor,alta,media,confia_plena,ninguno,False,0.717
user_000008,Boomer_60_mas,B,Sierra,media,medio,bancaseguros,baja,baja,confia_plena,voluntario,False,0.96
user_000009,Gen_X_44_59,D,Resto_Costa,baja,alto,bancaseguros,media,alta,confia_plena,solo_obligatorio,False,1.051
user_000010,Boomer_60_mas,E,Sierra,baja,alto,bancaseguros,media,baja,neutral,ninguno,False,0.701
user_000011,Boomer_60_mas,E,Resto_Costa,baja,medio,ninguno,media,baja,desconfia,ninguno,False,0.896
user_000012,Millennial_28_43,C,Lima_Metropolitana,baja,bajo,directo_digital,alta,alta,neutral,solo_obligatorio,False,0.991
user_000013,Gen_Z_18_27,E,Resto_Costa,media,alto,bancaseguros,alta,alta,neutral,ninguno,False,0.811
user_000014,Millennial_28_43,C,Selva,baja,medio,broker_corredor,media,media,desconfia,ninguno,False,0.812
user_000015,Gen_X_44_59,D,Selva,baja,bajo,bancaseguros,media,media,desconfia,solo_obligatorio,False,1.228
user_000016,Millennial_28_43,E,Resto_Costa,baja,alto,bancaseguros,alta,media,confia_plena,ninguno,False,0.712
user_000017,Boomer_60_mas,D,Resto_Costa,media,bajo,broker_corredor,baja,media,desconfia,ninguno,False,1.103
user_000018,Millennial_28_43,B,Sierra,media,medio,directo_digital,alta,alta,neutral,voluntario,False,1.194
user_000019,Gen_X_44_59,E,Lima_Metropolitana,media,medio,directo_digital,alta,alta,desconfia,ninguno,False,0.901
user_000020,Millennial_28_43,E,Sierra,baja,alto,directo_digital,alta,alta,neutral,ninguno,False,0.475
user_000021,Gen_X_44_59,D,Sierra,alta,alto,directo_digital,media,baja,confia_plena,ninguno,False,0.913
user_000022,Gen_X_44_59,E,Resto_Costa,alta,alto,broker_corredor,alta,alta,confia_plena,solo_obligatorio,False,1.296
user_000023,Millennial_28_43,E,Resto_Costa,baja,medio,broker_corredor,alta,media,desconfia,solo_obligatorio,False,1.288
user_000024,Gen_X_44_59,B,Resto_Costa,baja,alto,directo_digital,alta,alta,desconfia,ninguno,False,0.91
user_000025,Millennial_28_43,C,Lima_Metropolitana,baja,alto,bancaseguros,alta,alta,confia_plena,ninguno,False,0.551
user_000026,Gen_X_44_59,D,Selva,media,alto,bancaseguros,baja,alta,neutral,solo_obligatorio,False,1.346
user_000027,Boomer_60_mas,E,Selva,baja,bajo,ninguno,media,baja,desconfia,solo_obligatorio,False,0.994
user_000028,Millennial_28_43,D,Sierra,media,alto,bancaseguros,alta,baja,confia_plena,ninguno,False,0.565
user_000029,Gen_X_44_59,B,Resto_Costa,media,alto,broker_corredor,baja,alta,desconfia,ninguno,False,0.354
user_000030,Gen_X_44_59,E,Resto_Costa,alta,medio,bancaseguros,alta,media,desconfia,ninguno,False,0.656
user_000031,Gen_X_44_59,E,Lima_Metropolitana,baja,medio,bancaseguros,media,alta,neutral,solo_obligatorio,False,1.108
user_000032,Millennial_28_43,E,Selva,alta,bajo,directo_digital,media,alta,neutral,solo_obligatorio,False,1.262
user_000033,Gen_Z_18_27,C,Resto_Costa,baja,alto,bancaseguros,alta,baja,neutral,ninguno,False,0.486
user_000034,Millennial_28_43,D,Sierra,baja,bajo,directo_digital,media,baja,neutral,solo_obligatorio,False,1.066
user_000035,Millennial_28_43,C,Sierra,baja,alto,bancaseguros,alta,baja,neutral,ninguno,False,0.584
user_000036,Gen_Z_18_27,E,Lima_Metropolitana,media,alto,broker_corredor,alta,media,neutral,solo_obligatorio,False,1.16
user_000037,Boomer_60_mas,C,Sierra,baja,alto,bancaseguros,alta,baja,neutral,voluntario,False,1.163
user_000038,Millennial_28_43,B,Sierra,media,alto,broker_corredor,baja,baja,confia_plena,ninguno,False,0.542
user_000039,Millennial_28_43,C,Selva,media,alto,bancaseguros,media,alta,neutral,solo_obligatorio,False,1.011
user_000040,Boomer_60_mas,C,Lima_Metropolitana,baja,alto,broker_corredor,alta,alta,desconfia,ninguno,False,0.61
user_000041,Gen_X_44_59,D,Lima_Metropolitana,baja,alto,directo_digital,alta,media,desconfia,ninguno,False,0.607
user_000042,Gen_X_44_59,E,Resto_Costa,baja,alto,bancaseguros,alta,baja,confia_plena,ninguno,False,0.57
user_000043,Millennial_28_43,D,Lima_Metropolitana,alta,bajo,directo_digital,alta,alta,confia_plena,solo_obligatorio,False,0.897
user_000044,Millennial_28_43,E,Resto_Costa,baja,alto,bancaseguros,alta,media,neutral,ninguno,False,0.598
user_000045,Gen_Z_18_27,D,Resto_Costa,baja,alto,directo_digital,alta,baja,confia_plena,solo_obligatorio,False,1.269
user_000046,Boomer_60_mas,D,Resto_Costa,baja,medio,directo_digital,alta,alta,desconfia,ninguno,False,0.697
user_000047,Boomer_60_mas,D,Resto_Costa,media,alto,ninguno,alta,media,neutral,solo_obligatorio,False,0.897
user_000048,Gen_X_44_59,C,Sierra,media,alto,broker_corredor,alta,baja,confia_plena,voluntario,False,0.913
user_000049,Gen_Z_18_27,B,Lima_Metropolitana,baja,medio,bancaseguros,alta,alta,desconfia,voluntario,False,1.223
user_000050,Gen_X_44_59,C,Lima_Metropolitana,media,alto,directo_digital,alta,media,neutral,ninguno,False,0.665
user_000051,Gen_Z_18_27,E,Resto_Costa,baja,bajo,directo_digital,alta,baja,desconfia,solo_obligatorio,False,0.93
user_000052,Millennial_28_43,E,Sierra,alta,medio,bancaseguros,baja,media,desconfia,ninguno,False,0.714
user_000053,Gen_X_44_59,D,Lima_Metropolitana,baja,medio,directo_digital,media,baja,desconfia,ninguno,False,0.709
user_000054,Boomer_60_mas,E,Lima_Metropolitana,baja,alto,bancaseguros,media,baja,neutral,ninguno,False,0.217
user_000055,Millennial_28_43,D,Sierra,alta,medio,directo_digital,alta,media,desconfia,solo_obligatorio,False,0.856
user_000056,Millennial_28_43,B,Lima_Metropolitana,baja,medio,directo_digital,media,media,desconfia,ninguno,False,0.462
user_000057,Gen_Z_18_27,E,Lima_Metropolitana,baja,alto,bancaseguros,alta,baja,neutral,solo_obligatorio,False,1.111
user_000058,Boomer_60_mas,E,Sierra,baja,medio,directo_digital,baja,baja,desconfia,ninguno,False,0.478
user_000059,Gen_X_44_59,D,Sierra,media,medio,bancaseguros,alta,baja,desconfia,solo_obligatorio,False,1.163
user_000060,Millennial_28_43,D,Lima_Metropolitana,baja,medio,directo_digital,alta,media,confia_plena,solo_obligatorio,False,1.158
user_000061,Millennial_28_43,B,Lima_Metropolitana,alta,alto,directo_digital,alta,alta,confia_plena,solo_obligatorio,True,1.106
user_000062,Gen_Z_18_27,E,Lima_Metropolitana,media,bajo,bancaseguros,media,alta,desconfia,ninguno,False,0.541
user_000063,Millennial_28_43,E,Selva,alta,bajo,broker_corredor,baja,alta,desconfia,ninguno,False,0.336
user_000064,Gen_Z_18_27,D,Lima_Metropolitana,alta,alto,broker_corredor,alta,alta,neutral,ninguno,False,0.818
user_000065,Millennial_28_43,D,Lima_Metropolitana,baja,alto,directo_digital,alta,alta,desconfia,ninguno,False,0.715
user_000066,Millennial_28_43,C,Sierra,baja,alto,directo_digital,media,alta,confia_plena,ninguno,False,0.75
user_000067,Gen_X_44_59,E,Lima_Metropolitana,baja,alto,directo_digital,alta,baja,desconfia,ninguno,False,0.477
user_000068,Millennial_28_43,C,Sierra,media,medio,directo_digital,alta,alta,desconfia,ninguno,False,0.519
user_000069,Millennial_28_43,E,Resto_Costa,media,medio,bancaseguros,alta,media,confia_plena,ninguno,False,0.598
user_000070,Gen_X_44_59,B,Lima_Metropolitana,media,alto,bancaseguros,alta,media,desconfia,solo_obligatorio,True,0.973
user_000071,Boomer_60_mas,D,Lima_Metropolitana,baja,alto,broker_corredor,alta,baja,desconfia,ninguno,False,0.618
user_000072,Millennial_28_43,C,Lima_Metropolitana,media,alto,directo_digital,alta,media,neutral,solo_obligatorio,False,1.097
user_000073,Millennial_28_43,D,Sierra,baja,medio,directo_digital,media,baja,neutral,ninguno,False,0.732
user_000074,Millennial_28_43,D,Lima_Metropolitana,media,alto,directo_digital,alta,media,desconfia,ninguno,False,0.804
user_000075,Gen_Z_18_27,D,Resto_Costa,baja,alto,ninguno,alta,alta,confia_plena,ninguno,False,0.716
user_000076,Gen_X_44_59,E,Resto_Costa,media,alto,bancaseguros,alta,media,desconfia,ninguno,False,0.857
user_000077,Gen_X_44_59,C,Sierra,alta,alto,directo_digital,alta,media,desconfia,ninguno,False,0.404
user_000078,Gen_Z_18_27,B,Lima_Metropolitana,baja,alto,directo_digital,alta,media,confia_plena,voluntario,True,1.122
user_000079,Gen_Z_18_27,C,Lima_Metropolitana,media,alto,directo_digital,alta,baja,neutral,solo_obligatorio,False,0.996
user_000080,Millennial_28_43,C,Resto_Costa,alta,alto,ninguno,media,alta,confia_plena,solo_obligatorio,False,1.266
user_000081,Gen_Z_18_27,D,Sierra,alta,alto,bancaseguros,alta,media,neutral,solo_obligatorio,False,1.039
user_000082,Boomer_60_mas,D,Sierra,baja,bajo,broker_corredor,media,media,confia_plena,solo_obligatorio,False,0.921
user_000083,Boomer_60_mas,E,Lima_Metropolitana,media,medio,directo_digital,alta,alta,neutral,ninguno,False,0.554
user_000084,Gen_X_44_59,E,Lima_Metropolitana,alta,medio,bancaseguros,alta,media,confia_plena,solo_obligatorio,False,1.286
user_000085,Millennial_28_43,C,Selva,media,medio,bancaseguros,media,media,desconfia,voluntario,False,0.916
user_000086,Millennial_28_43,E,Sierra,media,alto,broker_corredor,alta,alta,desconfia,ninguno,False,0.421
user_000087,Boomer_60_mas,C,Selva,media,alto,directo_digital,media,media,confia_plena,ninguno,True,0.712
user_000088,Gen_Z_18_27,B,Lima_Metropolitana,media,bajo,ninguno,alta,alta,neutral,solo_obligatorio,False,1.212
