id,generacion,nse,region,educacion_financiera,sesgo_presente,canal_preferido,exposicion_riesgo_sismico,apertura_datos_ia,confianza_aseguradora,tenencia_seguro,seguro_desastres_naturales,wtp_ratio
user_000000,Boomer_60_mas,C,Lima_Metropolitana,alta,alto,directo_digital,alta,media,confia_plena,solo_obligatorio,False,0.677
user_000001,Gen_X_44_59,E,Sierra,baja,bajo,bancaseguros,alta,alta,confia_plena,ninguno,False,0.412
user_000002,Gen_X_44_59,E,Resto_Costa,media,medio,directo_digital,baja,alta,neutral,ninguno,False,0.871
user_000003,Gen_X_44_59,C,Lima_Metropolitana,media,alto,ninguno,alta,media,desconfia,ninguno,False,0.922
user_000004,Millennial_28_43,C,Sierra,baja,medio,bancaseguros,media,media,neutral,solo_obligatorio,False,0.865
user_000005,Boomer_60_mas,E,Resto_Costa,baja,alto,broker_corredor,alta,media,neutral,ninguno,False,0.736
user_000006,Gen_Z_18_27,B,Resto_Costa,media,medio,directo_digital,alta,alta,desconfia,ninguno,False,0.322
user_000007,Millennial_28_43,D,Sierra,alta,medio,bancaseguros,media,media,desconfia,ninguno,False,0.745
user_000008,Gen_X_44_59,E,Lima_Metropolitana,media,medio,directo_digital,alta,media,desconfia,ninguno,False,0.824
user_000009,Gen_Z_18_27,C,Lima_Metropolitana,alta,alto,directo_digital,alta,alta,desconfia,solo_obligatorio,False,1.012
user_000010,Boomer_60_mas,B,Resto_Costa,media,alto,directo_digital,alta,media,neutral,ninguno,False,0.661
user_000011,Millennial_28_43,B,Sierra,baja,bajo,bancaseguros,alta,media,neutral,voluntario,True,1.195
user_000012,Gen_X_44_59,A,Sierra,alta,bajo,directo_digital,media,alta,desconfia,solo_obligatorio,True,0.842
user_000013,Gen_Z_18_27,E,Selva,media,alto,broker_corredor,media,alta,desconfia,solo_obligatorio,False,1.246
user_000014,Gen_X_44_59,E,Selva,baja,alto,broker_corredor,baja,media,confia_plena,solo_obligatorio,False,0.943
user_000015,Millennial_28_43,E,Lima_Metropolitana,media,bajo,bancaseguros,alta,media,desconfia,ninguno,False,0.751
user_000016,Boomer_60_mas,E,Lima_Metropolitana,baja,alto,bancaseguros,media,baja,desconfia,ninguno,False,0.424
user_000017,Boomer_60_mas,E,Selva,media,medio,directo_digital,media,media,desconfia,ninguno,False,1.075
user_000018,Gen_Z_18_27,C,Lima_Metropolitana,baja,alto,directo_digital,alta,alta,desconfia,ninguno,False,0.303
user_000019,Boomer_60_mas,C,Lima_Metropolitana,alta,medio,directo_digital,alta,media,desconfia,voluntario,False,0.945
user_000020,Boomer_60_mas,B,Resto_Costa,media,medio,directo_digital,alta,media,confia_plena,voluntario,False,1.34
user_000021,Boomer_60_mas,E,Resto_Costa,baja,alto,directo_digital,alta,media,neutral,ninguno,False,0.742
